id,"Track",Artist,Streams,URL
1,"Lucky You",Eminem,34874403,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
2,"In My Feelings",Drake,31315010,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
3,"The Ringer",Eminem,30918553,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
4,"Eastside","benny blanco",23720522,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
5,"Girls Like You","Maroon 5",22660264,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
6,"FEFE",6ix9ine,22369274,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
7,Greatest,Eminem,21689170,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
8,"SICKO MODE","Travis Scott",21243668,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
9,"In My Mind",Dynoro,21100634,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
10,"Promises","Calvin Harris",20475124,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
11,"Lucid Dreams","Juice WRLD",20454104,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
12,"Not Alike",Eminem,19832972,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
13,"No Brainer","DJ Khaled",19555907,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
14,Fall,Eminem,19527974,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
15,Happier,Marshmello,19103844,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
16,Kamikaze,Eminem,18412370,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
17,"God is a woman","Ariana Grande",18194682,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
18,"Taste",Tyga,18044520,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
19,"I Like It","Cardi B",17088632,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
20,breathin,"Ariana Grande",16717020,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
21,SAD!,XXXTENTACION,16346438,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
22,"Vaina Loca",Ozuna,16029740,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
23,Normal,Eminem,15954601,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
24,"Be Alright","Dean Lewis",15626352,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
25,"Body","Loud Luxury",15474765,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
