,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",31742250,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,"Despacito - Remix","Luis Fonsi",30739322,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
3,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",26645646,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
4,Unforgettable,"French Montana",24760290,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
5,Feels,"Calvin Harris",22909119,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
6,"2U (feat. Justin Bieber)","David Guetta",22778308,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
7,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",22001714,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
8,"Shape of You","Ed Sheeran",20826514,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
9,Attention,"Charlie Puth",20426053,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
10,"Strip That Down","Liam Payne",19183320,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
11,Thunder,"Imagine Dragons",18948794,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
12,Mama,"Jonas Blue",18477881,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
13,"There's Nothing Holdin' Me Back","Shawn Mendes",16525501,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
14,"Sorry Not Sorry","Demi Lovato",16349185,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
15,"XO TOUR Llif3","Lil Uzi Vert",16169928,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
16,"More Than You Know","Axwell /\ Ingrosso",15965093,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
17,"Fetish (feat. Gucci Mane)","Selena Gomez",15407106,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
18,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",13976290,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
19,HUMBLE.,"Kendrick Lamar",13899247,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
20,"Something Just Like This","The Chainsmokers",13631815,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
21,"There for You","Martin Garrix",13618167,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
22,"New Rules","Dua Lipa",13608028,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
